"","site","elevation","aspect","max.slope","percent.sm","tot.slope","soil.depth","sunlight","N","P","K","xK","Na","xNA","Ca","Mg","cec","om","ph","ca_mg","pca1","pca2"
"1","1",2324,"SSW",10,13.9,1.80828877117927,1.90954250488444,1572.5,0.837247524533702,0.955511445027436,94,0.24,2.07944154167984,-3.50655789731998,1.27536280041261,3.14199478053224,27,3.09,6.76,-1.86663197694924,0.998031692429481,-0.580628553287768
"2","2",2365,"WSW",11,12.3,2.09186406167839,2.94443897916644,1649.6875,1.47017584510059,1.50407739677627,164,0.42,1.79175946922805,-3.91202300542815,1.16315080980568,2.97092715463502,23.2,3.8,6.82,-1.80777634529184,0.0180899202886373,-1.34477213852111
"3","3",2368,"SSW",2,15.2,1.84054963339749,3.41772668361337,1712.8125,2.66374994220563,1.82454929205105,197,0.5,1.38629436111989,-3.91202300542815,1.32175583998232,2.94549105711724,23.3,3.82,7.21,-1.62373521855892,-1.3606434479871,-1.40840053601869
"4","4",2349,"NE",10,15,2.02814824729229,1.84253179460148,1605.9375,-0.371063681390832,0.262364264467491,57,0.15,1.79175946922805,-3.50655789731998,0.765467842139571,2.90251989183181,20.5,2.19,6.98,-2.13705205299457,3.46217437097776,-0.12253082494433
"5","5",2345,"EES",10,14.3,2.10413415427021,3.39072608179486,1617.1875,1.23837423104327,1.30833281965018,273,0.7,2.484906649788,-2.99573227355399,1.59330853050422,3.33363206216639,33.7,3.6,6.95,-1.74032353391421,-1.98477161735119,1.16548069361511
"6","6",2235,"W ",15,12.8,2.57261223020711,2.60730863130068,1314.3125,1.51292701205326,1.3609765531356,149,0.38,2.07944154167984,-3.2188758248682,1.21491274436427,2.95438931001961,23,3.9,7.11,-1.73947656606483,0.465927794597299,0.551670049498241
"7","7",2237,"NW",15,21.6,2.72785282839839,3.44998754583159,1467.75,0.662687973075237,1.7227665977411,206,0.53,2.19722457733622,-3.2188758248682,1.70110510095992,3.14759462286324,29.3,3.65,7.07,-1.44648952191791,-0.865397468814977,2.25949024896112
"8","8",2255,"NW",15,14.3,2.82137888640921,3.56246552925828,1520.4375,2.00821403239147,1.16315080980568,198,0.51,1.94591014905531,-3.50655789731998,1.38128181929635,3.33861250647053,32.7,4.63,6.98,-1.95733068987771,-1.8009801225515,0.920378701324943
"9","9",2341,"SWW",13,27.7,2.76000994003292,2.90758388677729,1306.1875,1.5953389880546,1.50407739677627,89,0.23,2.19722457733622,-3.2188758248682,0.3293037471426,3.10816770288378,24,4.3,7.46,-2.77886395438866,-0.132652585372638,2.05733120691282
"10","10",2326,"W ",18,19.8,2.33214389523559,3.33665886052458,1463.75,1.23256026117785,1.38629436111989,316,0.81,2.30258509299405,-3.2188758248682,1.01160091167848,3.58795353552398,39.8,3.84,7.18,-2.57635262326368,-2.58183328628464,2.26533694918649
"11","11",2158,"N",25,14.1,2.8094026953625,2.71220821125087,1134.5625,1.26694760348732,1.41098697371026,258,0.66,2.19722457733622,-3.2188758248682,1.29746314741327,3.31527631915452,31.9,4.03,6.79,-2.0178131734325,-0.892099859270774,1.56340044891787
"12","12",2145,"NE",14,14.8,2.32238772029023,2.82953009863992,1016.625,1.19088756477728,1.09861228866811,172,0.44,2.39789527279837,-2.99573227355399,1.75785791755237,3.1267605359604,29.1,4.23,6.55,-1.36890261806319,-0.735092506224765,0.873098295895111
"13","13",2170,"E",23,12,2.84490938381941,2.70387482969173,1213.125,1.28647402583768,1.6094379124341,199,0.51,2.07944154167984,-3.50655789731998,1.12492959698548,3.03879176301444,24.5,3.89,6.75,-1.91386216293805,0.275332524336588,0.336320008509661
"14","14",2204,"E",5,20.9,2.21920348405499,2.39789527279837,1170.625,1.21787570949493,1.22377543162212,199,0.51,2.19722457733622,-3.2188758248682,0.959350221334602,3.11706455872152,25.7,3.88,6.64,-2.15771433590799,-0.572762695078301,0.101330089243743
"15","15",2241,"E",16,17.3,2.68102152871429,3.4863551901045,1395.25,1.18478998490916,2.09186406167839,279,0.71,2.30258509299405,-2.99573227355399,1.39871688111845,3.3357695763397,32.9,4.36,6.58,-1.93705269438175,-2.57614949405492,1.40226761351336
"16","16",1346,"SW",2,11.3,1.54756250871601,2.60730863130068,1397.1875,0.940007258491471,0.741937344729377,193,0.49,1.79175946922805,-3.50655789731998,1.11185751541813,3.1998968582704,28.1,3.13,6.55,-2.08803934105622,-0.185842718386908,-1.46239009589526
"17","17",1338,"SSW",1,8.9,1.80828877117927,3.42792045180291,1360.4375,1.02961941718116,1.09861228866811,267,0.68,1.6094379124341,-3.91202300542815,1.36609165380237,3.09602999486936,26.7,3.5,6.75,-1.729938343743,-0.783405720495914,-1.78757862872509
"18","18",1329,"NEE",15,11.9,1.93152141160321,3.46768712293099,1544.375,1.12167756159911,0.641853886172395,112,0.29,2.07944154167984,-3.50655789731998,1.32175583998232,3.0878555624298,26,3.95,7.01,-1.76609972251148,0.179004989684561,0.0990352118259534
"19","19",1352,"SES",8,8.8,1.97408102602201,1.88137162791774,1604.6875,1.0952733874026,0.916290731874155,159,0.41,1.79175946922805,-3.50655789731998,1.27536280041261,3.11440380327149,26.5,3.7,6.74,-1.83904100045665,0.51920480123695,-1.23032151540655
"20","20",1366,"E",4,9.4,1.90210752639692,2.78423933945976,1648.75,1.48839958405704,0.78845736036427,171,0.44,2.07944154167984,-3.50655789731998,1.65822807660353,3.19540246868256,30.1,4.03,6.49,-1.53717439202188,-0.926567944559065,-1.29966994720264
"21","21",1402,"NW",4,9,1.06471073699243,2.4901014666651,862.5625,0.936093359170335,1.91692261218206,252,0.65,1.79175946922805,-3.50655789731998,0.963174317773006,2.78932292123095,19.6,4.13,6.69,-1.82614860527092,-0.297459588000896,-2.57092219138225
"22","22",1395,"SW",3,10.6,1.19392246847243,3.80666248977032,1410.25,1.78339121955754,2.02814824729229,190,0.48,1.94591014905531,-3.50655789731998,1.23256026117785,3.10099278421148,26.2,4.92,6.65,-1.86843252007737,-2.52015020586743,-2.06927514592909
"23","23",1396,"N",7,19.8,1.28093384546206,3.54577861056942,1342.625,1.6094379124341,1.91692261218206,374,0.96,2.30258509299405,-3.2188758248682,0.72270598280149,3.56218180106798,38.3,4.21,7.47,-2.83947581244125,-3.92783922352928,0.961394258646427
"24","24",1403,"N",6,7.7,2.34180580614733,3.26289271028498,1192.5,0.904218150639886,2.64617479738412,280,0.72,2.19722457733622,-3.2188758248682,1.45161382724053,2.92852352386054,23.7,4.7,6.6,-1.47690969657317,-1.66534445401508,-1.10226249432246
"25","25",1405,"NNE",13,8.3,1.97408102602201,3.13820792180075,1087.4375,0.576613364303994,2.16332302566054,200,0.51,3.95124371858143,-3.77226106305299,1.41098697371026,2.9274534328007,23.5,4.08,6.67,-1.51646646077824,-0.17694342972177,-1.39521996047497
"26","26",1615,"SE ",23,16.3,2.66025953726586,2.80146464574164,1125.0625,-0.105360515657826,0,35,0.09,2.70805020110221,-2.65926003693278,2.33020026002702,2.43273577745909,21.8,1.49,7.8,-0.102535517503083,4.3708086071041,4.23608580044658
"27","27",1588,"SW",20,8,3.00071981506503,1.7546199222786,1276.25,0.797507195884188,0.78845736036427,38,0.1,1.6094379124341,-3.91202300542815,0.625938430866495,2.44927947214485,13.6,2.08,7.04,-1.8233410382837,4.90362040882137,-0.864774410365035
"28","28",1660,"SW",10,10.6,2.26176309847379,2.17617116813839,1294.375,1.18784342239605,0.741937344729377,54,0.14,1.6094379124341,-3.91202300542815,0.678033542749897,2.6616571615325,16.4,2.48,6.98,-1.98362362170646,3.18614493309854,-1.54631756131666
"29","29",1636,"SEE",27,8.7,3.08190996979504,3.05635689537043,1467.0625,0.858661619037519,0.78845736036427,50,0.13,1.38629436111989,-3.91202300542815,1.19392246847243,2.29152414563462,13.3,2.48,7.22,-1.09760167750764,4.32952439500246,0.208890133732275
"30","30",1740,"SE",25,11.3,2.46809953147162,2.81839825827108,1199.0625,0.966983846189673,1.3609765531356,113,0.29,1.6094379124341,-3.91202300542815,0.631271776841858,2.97297528643137,21.7,4.38,7.15,-2.34170350817994,1.2780719299894,-0.216445706437798
